fine_signature,stratum,task_type,complexity,domain,reviewer_model,n,mean_score,mean_workflow_cost,mean_estimated_cost,intervention_rate,success_rate,mean_reviewer_score
feature|c4|full-stack,ts_std_large,feature,4.0,full-stack,gpt-5.5,16,0.7725,12.410705055000001,0.388370425,0.625,0.625,0.7056250000000001
feature|c4|full-stack,ts_std_med,feature,4.0,full-stack,gpt-5.5,4,0.905,26.83267338375,0.474965625,0.25,1.0,0.7675
feature|c4|full-stack,unknown_large,feature,4.0,full-stack,gpt-5.5,3,0.6866666666666666,15.526170193333334,0.5672935666666666,1.0,0.3333333333333333,0.5666666666666667
feature|c4|full-stack,unknown_med,feature,4.0,full-stack,gpt-5.5,2,0.815,4.52777833,0.3907682,0.5,0.5,0.715
feature|c5|backend,ts_std_large,feature,5.0,backend,claude-haiku-4-5-20251001,5,0.876,5.564027392,0.37038862,0.8,1.0,0.768
feature|c5|backend,unknown_large,feature,5.0,backend,claude-opus-4-7,3,0.7866666666666666,116.89214833333334,0.8894657333333335,0.6666666666666666,0.6666666666666666,0.7566666666666667
feature|c5|backend,ts_std_large,feature,5.0,backend,claude-sonnet-5,1,0.92,0.0,0.5048262,0.0,1.0,0.82
feature|c5|backend,ts_std_large,feature,5.0,backend,glm-5.3,1,0.58,17.875682625,0.4716366,1.0,0.0,0.5
feature|c5|backend,ts_std_large,feature,5.0,backend,gpt-5.4,1,0.66,22.18440873,0.08858049999999999,1.0,0.0,0.58
feature|c5|backend,ts_std_large,feature,5.0,backend,gpt-5.5,2,0.69,0.0,0.44633565,0.0,0.0,0.47500000000000003
feature|c5|backend,unknown_large,feature,5.0,backend,gpt-5.5,2,0.86,0.0,0.6973296,0.5,1.0,0.7150000000000001
feature|c5|data-pipeline,ts_std_large,feature,5.0,data-pipeline,claude-haiku-4-5-20251001,2,0.66,13.796226999999998,0.5129039,0.5,0.5,0.675
feature|c5|data-pipeline,ts_std_large,feature,5.0,data-pipeline,claude-opus-4-7,2,0.895,2.2023256250000003,0.8264326499999999,0.0,1.0,0.74
feature|c5|data-pipeline,unknown_large,feature,5.0,data-pipeline,claude-opus-4-7,1,0.55,17.388477625,0.5424937999999999,1.0,0.0,0.5
feature|c5|data-pipeline,ts_std_large,feature,5.0,data-pipeline,gpt-5.5,2,0.795,4.253895625,0.7174948000000001,0.5,0.5,0.69
feature|c5|devtools,ts_std_large,feature,5.0,devtools,gpt-5.5,1,0.68,0.0,0.6942081000000001,1.0,0.0,0.6
feature|c5|frontend,ts_std_large,feature,5.0,frontend,claude-haiku-4-5-20251001,2,0.59,2.976096875,0.4989823,0.5,0.5,0.54
feature|c5|frontend,ts_std_large,feature,5.0,frontend,claude-opus-4-7,3,0.91,9.848647941666668,0.5873985333333334,0.6666666666666666,1.0,0.8566666666666666
feature|c5|frontend,unknown_large,feature,5.0,frontend,claude-opus-4-7,1,0.88,24.0408155,0.4430702,1.0,1.0,0.78
